Parent Card,Kind,Timing,Targeting 1,Targeting 2,Precision,Energy Cost,Additional Cost,Effect,Trigger,Header,Footer,Reminder
Chrome Dome,Utility,Phase_2,,,,8,,"3[Block] on all your parts.",,"Once per combat.",,""
Databanks,Passive,None,,,,,,"You get +2[Slot_Mod]. This part cannot take [Ion].",,,,"(If this part is destroyed, immediately destroy parts down to your new limit.)"
Hammer Head,Attack,Phase_2,Adjacent,,,4,"X[Counter]","X[Damage].",,,,""
Hammer Head,Passive,Interrupt,,,,,,"1[Counter].","Whenever you deal [Damage] to an enemy unit",,,""
Heat Rays,Attack,Phase_2,Straight 6,,,10,,"Ignoring obstacles, target all valid units in any one direction. 2[Fire],2[Fire],2[Fire].",,,,""
Movement Amplifier,Passive,None,,,,,,"You get +1[Movement] from all sources.",,,,""
Shinobi Skull,Utility,Phase_2,,,,4,"3[Counter]","Place yourself into any empty space.",,,,""
Shinobi Skull,Passive,Interrupt,,,,,,"1[Counter].","Whenever you use a melee attack",,,""
Tesla Cranium,Attack,Phase_2,Ballistic 2,,,5,"6[Counter]","1[Ion] to all valid parts.",,,,""
Tesla Cranium,Passive,Phase_1,,,,,,"1[Counter] (Max 6).",,,,""
Universal Joint,Passive,None,,,,,,"You get +1[Slot_Hand]. This part cannot take [Ion].",,,,"(If this part is destroyed, immediately destroy parts down to your new limit.)"
Aggressive Armour,Passive,Phase_1,,,,,,"Gain 10[Energy].",,,,""
Aggressive Armour,Passive,Interrupt,,,,,,"1[Block] on this part.","Whenever you deal [Damage] to an enemy unit",,,""
Basic Generator,Passive,Phase_1,,,,,,"Gain 12[Energy].",,,,""
Conserving Dynamo,Passive,Phase_1,,,,,,"Gain 10[Energy].",,,,""
Conserving Dynamo,Passive,None,,,,,,"You may conserve up to 7[Energy] between rounds.",,,,""
Inertial Drive,Passive,Phase_1,,,,,,"Remove all [Counter] and gain 10[Energy]. You may place 1[Counter] on this part to gain 4[Energy].",,,,""
