Name,Slot 1,Slot 2,Weight,Max HP,Price,Flavour
"Chrome Dome",Head,,5,4,1,"""You will ride eternal, shiny and chrome.""    - Immortan Joe"
"Databanks",Head,,5,5,1,"What's a few more petabytes, anyway?"
"Hammer Head",Head,,9,5,1,"""It doesn't really have anything to do with sharks."""
"Heat Rays",Head,,4,3,1,"It's rude to stare."
"Movement Amplifier",Head,,6,2,1,"Wheeeee!"
"Shinobi Skull",Head,,4,2,1,"Nothing personnel kid."
"Tesla Cranium",Head,,5,2,1,"You may feel a slight tingling."
"Universal Joint",Head,,2,5,1,"""We think it should be fine."""
"Aggressive Armour",Torso,,7,10,1,"Its fuel is violence."
"Basic Generator",Torso,,6,10,1,"Flashy doesn't get the job done."
"Conserving Dynamo",Torso,,4,8,1,"Waste not, want not."
"Inertial Drive",Torso,,4,8,1,""
"Nuclear Reactor",Torso,,12,20,1,"There is no Plan B."
"Overdrive Core",Torso,,6,12,1,"Just try to keep an eye on it."
"Thermal Plating",Torso,,8,12,1,"Toasty!"
"Afterburner",Hand,,6,5,1,"Are you feeling it now?"
"Arm Blades",Hand,,6,5,1,""
"Assassin's Blade",Hand,,2,3,1,"They won't feel a thing."
"Big Gun",Hand,,8,6,1,"Spray and pray."
"Billboard",Hand,,5,4,1,"Feel the power of the invisible hand."
"Bludgeon Arm",Hand,,11,6,1,"""That ought to do the trick."""
"Buckler",Hand,,2,3,1,"I hardly know 'er!"
"Crossbow",Hand,,3,4,1,"Careful with the trigger."
"Debilitator",Hand,,6,5,1,"You might need a sick day."
"Dirk",Hand,,2,3,1,"Cut and run."
"Fire Spitter",Hand,,10,5,1,""
"Flail",Hand,,6,4,1,"Don't get the chain stuck."
"Grapple Arm",Hand,,6,5,1,""
"Greathammer",Hand,Hand,14,8,1,"Brute strength has its place."
"Mortar",Hand,,7,5,1,"Fetchez la vache!"
"Pilot Light",Hand,,6,8,1,""
"Plague Grenades",Hand,,6,4,1,""
"Plasma Rifle",Hand,,5,3,1,""
"Plasma Saber",Hand,,8,6,1,""
"Precision Disabler",Hand,,7,4,1,"You won't be needing that."
"Railgun",Hand,,10,6,1,"""It's cumbersome, yes, but imagine if it hits!"""
"Rapier",Hand,,6,6,1,"No defence is without weakness."
"Repair Tool",Hand,,4,2,1,"Show me where it hurts."
"Rocket Pod",Hand,,8,4,1,"BOOM!"
"Self-Throwing Arm",Hand,,6,6,1,"It was holding me back."
"Sniper Rifle",Hand,,6,3,1,"Don't move."
"Stunner",Hand,,6,5,1,"Sparkly!"
"Superspreader",Hand,,8,8,1,"Excuse me."
"Swarm Missiles",Hand,,8,4,1,"They always find a way."
"Tower Shield",Hand,,8,4,1,"It's not cowardice if you're alive."
"Jumping Legs",Legs,,4,4,1,"""It's a lifestyle."""
"Legs",Legs,,6,6,1,"Begin with a single step."
"Reactive Exoskeleton",Legs,,8,3,1,"""Phew!"""
"Sentry Legs",Legs,,9,7,1,"""You'll get the hang of it."""
"Spartan Legs",Legs,,8,4,1,"""Wasn't there a quote about this?"""
"Steamroller",Legs,,14,8,1,"Get out of my way."
"Swift-foot Legs",Legs,,5,3,1,"Hey, remember BEDMAS?"
"Tripedal Drive",Legs,Hand,10,6,1,"Be grateful for what you still have."
"Ablative Plating",Mod,,1,1,1,"""That'll buff out."""
"Active Suspension",Mod,,0,1,1,"Bend with the wind."
"Afflictive Resonator",Mod,,1,1,1,"""I don't feel so good."""
"Amplifying Subwoofer",Mod,,4,1,1,"Crank it up."
"Cleansing Nanites",Mod,,4,1,1,""
"Cloaking Device",Mod,,3,1,1,""
"Comms Jammer",Mod,,1,1,1,""
"Cytokine Storm",Mod,,0,1,1,"""It's spelled how it sounds."""
"Exhaust Vent",Mod,,2,1,1,"Doesn't that feel better?"
"Ignition Protocol",Mod,,4,1,1,""
"Immune Supressor",Mod,,2,1,1,""
"Martial Arts Protocol",Mod,,0,1,1,""
"Memetic AI",Mod,,3,1,1,"Mind if I borrow that?"
"Necrotizing Protocol",Mod,,4,1,1,""
"Obtuse Emergency Protocols",Mod,,1,1,1,""
"Optimized Routing",Mod,,1,1,1,""
"Plink Cannon",Mod,,1,1,1,"Plink!"
"Reflex Drive",Mod,,3,1,1,"Nice try."
"Self-forming Structures",Mod,,4,1,1,""
"Shutdown Protocol",Mod,,4,1,1,""
"Small Modular Reactor",Mod,,4,1,1,"...but mighty."
"Suspension System",Mod,,-2,1,1,""
"Targeting Computer",Mod,,0,1,1,"""I have a visual."""
"Temporal Drive",Mod,,4,1,1,""
"X-Ray Targeting",Mod,,0,1,1,"""What do you mean it shot a missile through a rock?"""
